date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm
2015-09-19,Baghpat,Rice,29.03,6.89,1.56,17.84,5.08134185077879,106.94923102855682
2015-09-20,Baghpat,Rice,30.02,20.18,0.85,18.79,5.213580684439355,103.53565514087677
2015-09-21,Baghpat,Rice,30.22,2.41,0.72,18.68,5.206016459698489,104.20685112476349
2015-09-22,Baghpat,Rice,29.53,6.28,2.04,19.63,5.154906911455568,108.69617164134979
2015-09-23,Baghpat,Rice,27.08,0.57,2.66,18.55,4.814522906133503,98.26430976390839
2015-09-24,Baghpat,Rice,26.23,0.0,2.77,21.89,4.85390391951558,88.84753882884979
2015-09-25,Baghpat,Rice,26.15,0.0,2.03,21.65,4.81179746562724,82.67345130443573
2015-09-26,Baghpat,Rice,27.55,0.03,1.61,20.95,4.909172763489755,77.38513648509979
2015-09-27,Baghpat,Rice,27.94,0.02,1.49,19.8,4.873394587299697,72.52559512853622
2015-09-28,Baghpat,Rice,27.14,0.01,1.77,20.87,4.814577879087144,68.07251125574112
2015-09-29,Baghpat,Rice,26.61,0.0,2.06,21.12,4.746042275420818,64.17751461267471
2015-09-30,Baghpat,Rice,26.47,0.0,2.51,21.58,4.728690374562539,60.58540195226669
